ds,y,yhat,yhat_lower,yhat_upper
2014-09-13,448,415.5086993843232,337.94525294322113,497.0249561769108
2014-09-14,397,395.1341267541426,322.92336585947675,469.0928000472945
2014-09-15,287,313.4272278640028,236.30926687182614,385.14602064167434
2014-09-16,332,320.8561262753388,247.32604255023568,390.3551022698948
2014-09-17,282,321.3212711704992,248.73573916372837,399.7135722271255
2014-09-18,278,319.67185975600034,243.6213249926318,393.9979769826151
2014-09-19,324,329.7587482965265,249.22870836132907,407.0903413963481
2014-09-20,396,402.75549934209863,327.6843496017802,482.94868908726477
2014-09-21,351,381.7325401213527,303.2444034176707,456.6472950614502
2014-09-22,252,302.4555248300046,229.74286226611875,369.02806936184714
2014-09-23,294,309.96747524291715,235.71283529037083,388.4124024962616
2014-09-24,0,310.82928371584137,234.83436924925078,387.11042638601134
2014-09-25,236,309.8450167345176,240.94928149884618,387.76304756199056
2014-09-26,276,320.81455539575865,239.7219710816486,392.7410120368589
2014-09-27,437,394.856371056672,323.1698033157915,468.95662054008653
2014-09-28,447,374.9834920649258,300.0356061182468,447.5509428715234
2014-09-29,251,296.9037002469157,228.4416060050039,370.80958134163035
2014-09-30,279,305.6034774628538,236.18899301317668,380.7404625706337
2014-10-01,291,307.5902336860758,231.32654125788798,385.5419720333328
2014-10-02,326,307.6192051796625,236.80495754292343,380.6958772243708
2014-10-03,502,384.4144755493844,307.7889623833311,462.865582717033
2014-10-04,479,459.1251092380344,380.24224596286916,532.4022321792452
2014-10-05,569,439.7038438831762,364.2228752710772,517.8530548014211
2014-10-06,524,361.8401245011876,293.8032316280092,440.97475996654464
2014-10-07,503,370.51140640484664,290.48519427828387,439.8892213070864
2014-10-08,256,307.258519799879,230.48518259126155,374.23706805242693
2014-10-09,207,306.7805198626478,233.805338705768,385.094024740262
2014-10-10,283,317.88558426891115,243.55267973933357,390.95509683602097
2014-10-11,381,391.682998673125,319.306992112092,464.42067320359314
2014-10-12,378,371.1918242635965,296.86546227341813,443.4872055948514
2014-10-13,270,292.14057991797023,218.15078333848584,371.2652067913448
2014-10-14,249,299.55021720904693,222.69953351161647,370.1377575277469
2014-10-15,225,299.97495594579283,228.1585806054201,376.01281326450766
2014-10-16,241,298.227417348237,224.6414424792452,372.8425690202456
2014-10-17,294,308.1306053716857,231.00606235157187,387.29262266351236
2014-10-18,410,380.8395631469404,300.9715677467442,455.5839920947912
2014-10-19,384,359.4158027621582,281.9056541666098,433.0856423920695
2014-10-20,233,279.6256015492717,202.52777795428509,353.1333710171932
2014-10-21,275,286.52175008466236,208.61725730635035,360.3963660641645
2014-10-22,252,286.6833566090057,210.01380256123838,358.5699964561901
2014-10-23,220,284.9401757592556,212.6558127726741,360.59887734965486
2014-10-24,226,295.1240357684183,223.14269646934085,370.44329934616377
2014-10-25,327,368.3902069296422,293.83903115915496,439.53292094744654
2014-10-26,340,347.7918171140197,272.0069064034353,414.32737683766084
2014-10-27,256,269.0784066150746,195.4440291165001,342.20318819786996
2014-10-28,365,342.2451597859266,269.4710836454049,415.46944862156096
2014-10-29,356,343.9056315722505,270.18977948191883,420.3627378468442
2014-10-30,270,278.85187352487446,208.43650102650983,352.86235283053594
2014-10-31,264,290.8070402605517,217.53732329377343,362.7750644678384
2014-11-01,397,365.91328179591346,289.8843546781073,438.94322311784623
2014-11-02,344,347.17544715364545,269.0677094743852,418.53666079550766
2014-11-03,271,270.29418466229174,195.11625819497502,341.46613240247797
2014-11-04,233,280.24973693262086,204.4430961823065,356.3712539236541
2014-11-05,260,283.5440086478402,204.1317711586419,361.9858842794272
2014-11-06,221,284.92730349636844,209.8124520525585,360.0566306560781
2014-11-07,236,298.1522285106606,216.6113598355064,373.7272055658649
2014-11-08,367,374.29753071702146,298.20581648678706,450.5809862055008
2014-11-09,310,356.34489439414926,283.6633120276025,437.51858714686585
2014-11-10,208,279.979716482706,203.78456213965416,349.3325306950818
2014-11-11,236,290.1753664111489,207.39423817969194,360.97107299436965
2014-11-12,266,293.43545520397026,219.0578616462094,372.45763304551076
2014-11-13,241,294.60923569286115,223.98210956883733,370.61949316263116
2014-11-14,233,307.3789728427853,232.89211495855088,385.98663598038985
2014-11-15,373,382.849380827401,310.37331291135524,461.6228725583533
2014-11-16,303,364.03485129558516,287.34379316572927,434.4441783716405
2014-11-17,211,286.65917667745845,217.66702473301785,358.50163636482864
